donor_id,date,volunteer_ids,recipient_ids,part_food_types,part_weights,transport,scale
72,1/29/2013,264,44,Baked Goods,5,,
6,1/29/2013,2,,Produce,45,Car,
76,1/29/2013,139,,Frozen Prepared Food,6,Bike,
19,1/29/2013,126,28,Frozen Prepared Food,0,,
6,1/29/2013,46,15,Produce,0,,
6,1/30/2013,28,,Baked Goods,25,Bike,
1,1/30/2013,,7,Baked Goods,10,Bike,
69,1/30/2013,53,39,Produce,8,Bike,
6,1/30/2013,163,10,Produce,55,Bike,
6,1/30/2013,163,10,Baked Goods,0,Bike,
2,1/30/2013,136,15,Produce,20,Bike,
6,1/30/2013,28,,Produce,115,Bike,
74,1/30/2013,161,15,Produce,68,Bike,
4,1/30/2013,130,37,Produce,57,Car,
25,1/30/2013,53,39,Baked Goods,4,Bike,
24,1/30/2013,53,39,Fresh Prepared Food,6,Bike,
3,1/30/2013,52,14,Produce,7,,
1,1/30/2013,,7,Produce,30,Bike,
6,1/31/2013,289,7,Baked Goods,0,,
72,1/31/2013,163,10,Produce,165,Bike,
72,1/31/2013,163,10,Baked Goods,25,Bike,
1,1/31/2013,58,41,Produce,50,Bike,
1,1/31/2013,58,41,Baked Goods,15,Bike,
6,1/31/2013,81,63,Produce,40,Bike,
43,1/31/2013,48,28,Frozen Prepared Food,40,Bike,
6,1/31/2013,81,63,Baked Goods,10,Bike,
2,1/31/2013,57,28,Produce,55,Bike,
74,1/31/2013,274,7,Produce,25,Bike,
4,1/31/2013,32,10,Produce,0,,
6,1/31/2013,289,7,Produce,100,Bike,
3,1/31/2013,59,42,,60,Bike,
27,1/31/2013,256,18,Baked Goods,40,Car,
1,2/1/2013,19,20,,100,Bike,
2,2/1/2013,21,8,Produce,10,Car,
19,2/1/2013,271,26,Frozen Prepared Food,35,Bike,
6,2/1/2013,281,15,Produce,0,,
6,2/1/2013,116,10,,120,Bike,
6,2/1/2013,116,10,Baked Goods,0,,
6,2/1/2013,163,71,Produce,15,Bike,
6,2/1/2013,163,71,Baked Goods,0,Bike,
4,2/1/2013,279,20,Produce,22,Bike,
74,2/1/2013,26,8,Produce,75,Car,
24,2/1/2013,129,22,Fresh Prepared Food,10,Bike,
6,2/1/2013,116,10,Produce,0,,
25,2/1/2013,129,22,Baked Goods,15,Bike,
27,2/1/2013,30,20,Baked Goods,25,Bike,
1,2/1/2013,71,,Baked Goods,10,Bike,
3,2/1/2013,31,14,Produce,64,Bike,
2,2/2/2013,290,29,Produce,12,Bike,
25,2/2/2013,102,29,Baked Goods,0,,
1,2/2/2013,27,,Baked Goods,5,Bike,
6,2/2/2013,225,28,Produce,10,Car,
6,2/2/2013,225,28,Baked Goods,0,,
4,2/2/2013,29,22,Produce,45,Car,
1,2/2/2013,27,,Produce,75,Bike,
74,2/2/2013,68,18,Produce,45,Bike,
3,2/2/2013,31,,Produce,65,Bike,
72,2/2/2013,231,8,Produce,200,Bike,
72,2/2/2013,231,8,Baked Goods,15,Bike,
76,2/2/2013,62,26,Frozen Prepared Food,0,Bike,
24,2/2/2013,225,28,Fresh Prepared Food,5,Car,
6,2/2/2013,141,,Produce,80,Bike,
6,2/2/2013,141,,Baked Goods,0,Bike,
6,2/2/2013,31,30,Produce,0,Bike,
1,2/3/2013,13,8,Produce,150,Bike,
1,2/3/2013,13,8,Baked Goods,10,Bike,
74,2/3/2013,298,,Produce,50,Bike,
6,2/3/2013,158,5,Produce,115,,
6,2/3/2013,158,5,Baked Goods,0,Car,
72,2/3/2013,290,20,Produce,315,Bike,
72,2/3/2013,290,20,Baked Goods,35,Bike,
2,2/3/2013,7,5,Produce,130,Car,
3,2/3/2013,52,9,Produce,0,,
25,2/3/2013,286,11,Baked Goods,5,,
19,2/3/2013,255,,Frozen Prepared Food,0,Foot,
4,2/3/2013,148,20,Produce,121,Car,
1,2/3/2013,148,8,Produce,123,Bike,
1,2/4/2013,163,14,,5,Bike,
6,2/4/2013,271,7,Produce,20,Bike,
6,2/4/2013,271,7,Baked Goods,0,Bike,
6,2/4/2013,199,61,Produce,35,Bike,
1,2/4/2013,163,14,Dairy,165,Bike,
6,2/4/2013,28,20,Produce,55,Bike,
6,2/4/2013,28,20,Baked Goods,0,Bike,
25,2/4/2013,40,28,Baked Goods,0,,
74,2/4/2013,272,7,Produce,75,,
3,2/4/2013,41,66,Produce,35,Bike,
69,2/4/2013,40,28,Produce,0,,
2,2/4/2013,38,15,Produce,0,,
24,2/4/2013,40,28,Fresh Prepared Food,0,,
4,2/4/2013,58,11,Produce,0,,
72,2/5/2013,264,44,Produce,101,Bike,
3,2/5/2013,181,66,Produce,16,Bike,
4,2/5/2013,282,5,Baked Goods,15,Bike,
72,2/5/2013,264,44,Baked Goods,10,Bike,
4,2/5/2013,282,5,Produce,0,,
1,2/5/2013,42,18,Baked Goods,0,,
6,2/5/2013,46,15,Produce,0,,
6,2/5/2013,46,15,Baked Goods,0,,
6,2/5/2013,39,,Baked Goods,0,,
1,2/5/2013,42,18,Produce,80,Bike,
76,2/5/2013,62,,Frozen Prepared Food,0,,
2,2/5/2013,3,35,Produce,60,Bike,
74,2/5/2013,288,,Produce,150,Bike,
19,2/5/2013,126,26,Frozen Prepared Food,65,Bike,
6,2/5/2013,2,,Produce,40,,
2,2/6/2013,163,7,Produce,55,Bike,
24,2/6/2013,53,39,Fresh Prepared Food,5,Bike,
43,2/6/2013,48,26,Frozen Prepared Food,60,Bike,
6,2/6/2013,39,10,Baked Goods,0,Bike,
1,2/6/2013,293,7,Baked Goods,0,,
4,2/6/2013,130,37,Produce,0,,
6,2/6/2013,298,,Baked Goods,0,,
6,2/6/2013,298,,Produce,60,Bike,
6,2/6/2013,63,10,Produce,95,Bike,
25,2/6/2013,53,39,Baked Goods,6,Bike,
74,2/6/2013,2,15,Produce,20,Bike,
69,2/6/2013,53,39,Produce,4,Bike,
3,2/6/2013,52,14,Produce,64,Bike,
1,2/6/2013,293,7,Produce,50,Bike,
6,2/6/2013,65,14,,218,Car,
27,2/7/2013,256,18,Baked Goods,20,Foot,
6,2/7/2013,289,7,Baked Goods,0,,
72,2/7/2013,163,10,Produce,165,Bike,
72,2/7/2013,163,10,Baked Goods,35,Bike,
1,2/7/2013,58,41,Baked Goods,20,Bike,
6,2/7/2013,313,63,Baked Goods,0,Bike,
6,2/7/2013,289,7,Produce,12,Bike,
4,2/7/2013,32,10,Produce,0,,
3,2/7/2013,59,42,Produce,40,Car,
1,2/7/2013,58,41,Produce,50,Bike,
6,2/7/2013,313,63,Produce,75,Bike,
74,2/7/2013,274,7,Produce,0,,
2,2/7/2013,57,28,Produce,166,Bike,
6,2/8/2013,116,10,Baked Goods,10,Bike,
27,2/8/2013,136,20,Baked Goods,80,Bike,
24,2/8/2013,129,22,Fresh Prepared Food,20,Bike,
1,2/8/2013,19,20,Produce,100,Bike,
6,2/8/2013,163,71,Baked Goods,65,Bike,
6,2/8/2013,163,71,Baked Goods,0,,
4,2/8/2013,279,20,Produce,50,Bike,
6,2/8/2013,65,14,,218,Car,
19,2/8/2013,271,26,Frozen Prepared Food,43,Bike,
74,2/8/2013,26,8,Produce,68,Bike,
25,2/8/2013,129,22,Baked Goods,10,Bike,
6,2/8/2013,116,10,Produce,65,Bike,
6,2/8/2013,281,15,Produce,220,Car,
1,2/8/2013,25,,Baked Goods,20,Bike,
2,2/8/2013,21,8,Produce,35,Bike,
3,2/8/2013,31,14,Produce,87,Bike,
72,2/9/2013,231,8,Produce,130,Car,
76,2/9/2013,294,26,Frozen Prepared Food,15,Bike,
74,2/9/2013,163,18,Produce,25,Bike,
25,2/9/2013,102,29,Baked Goods,2,Bike,
6,2/9/2013,225,28,Baked Goods,0,,
4,2/9/2013,29,22,Produce,40,Bike,
1,2/9/2013,27,,Produce,75,Bike,
3,2/9/2013,31,,Produce,120,Bike,
72,2/9/2013,231,8,Baked Goods,35,Car,
2,2/9/2013,101,29,Produce,135,Bike,
6,2/9/2013,68,,Produce,92,Bike,
1,2/9/2013,27,,Baked Goods,25,Bike,
6,2/9/2013,225,28,Produce,0,,
24,2/9/2013,225,28,Fresh Prepared Food,0,,
6,2/9/2013,141,,Baked Goods,0,Bike,
6,2/9/2013,31,30,Produce,70,Car,
74,2/10/2013,294,,Produce,40,Bike,
3,2/10/2013,52,9,Produce,142,Bike,
72,2/10/2013,290,20,Baked Goods,35,Bike,
1,2/10/2013,13,8,Baked Goods,10,Bike,
6,2/10/2013,65,5,Baked Goods,140,Car,
19,2/10/2013,255,,Frozen Prepared Food,0,Bike,
2,2/10/2013,7,5,Produce,70,Car,
4,2/10/2013,148,20,Produce,130,Bike,
25,2/10/2013,286,11,Baked Goods,7,,
72,2/10/2013,290,20,Produce,190,Bike,
1,2/10/2013,13,8,Produce,300,Bike,
6,2/10/2013,65,5,Produce,160,Car,
6,2/11/2013,294,7,Baked Goods,30,Bike,
2,2/11/2013,38,15,Produce,53,Car,
25,2/11/2013,40,28,Baked Goods,9,,
3,2/11/2013,41,66,Produce,15,,
24,2/11/2013,40,28,Fresh Prepared Food,3,,
6,2/11/2013,71,20,Baked Goods,20,Bike,
1,2/11/2013,316,14,Baked Goods,0,,
6,2/11/2013,199,61,Produce,30,Bike,
4,2/11/2013,58,11,Produce,60,Bike,
1,2/11/2013,316,14,Produce,0,Bike,
6,2/11/2013,294,7,,150,Bike,
74,2/11/2013,272,15,Produce,69,Car,
69,2/11/2013,40,28,Produce,12,,
6,2/11/2013,71,20,Produce,130,Bike,
72,2/12/2013,264,44,Produce,200,Bike,
3,2/12/2013,181,66,Produce,224,,
6,2/12/2013,39,,Produce,15,Bike,
6,2/12/2013,46,15,Produce,40,Bike,
6,2/12/2013,39,,Baked Goods,0,,
6,2/12/2013,46,15,Baked Goods,0,,
1,2/12/2013,42,18,Baked Goods,30,Bike,
19,2/12/2013,126,26,Frozen Prepared Food,0,,
74,2/12/2013,288,,Produce,150,Bike,
72,2/12/2013,264,44,Baked Goods,5,Bike,
2,2/12/2013,3,35,Produce,70,Bike,
4,2/12/2013,282,5,Produce,0,Bike,
1,2/12/2013,42,18,Produce,300,Bike,
76,2/12/2013,274,,Frozen Prepared Food,25,Bike,
6,2/13/2013,312,10,Produce,180,Bike,
25,2/13/2013,53,39,Baked Goods,6,Bike,
74,2/13/2013,316,15,Produce,3,Bike,
6,2/13/2013,281,,Baked Goods,0,Bike,
43,2/13/2013,48,26,Frozen Prepared Food,15,Bike,
4,2/13/2013,130,37,Produce,0,,
3,2/13/2013,52,14,Produce,126,Car,
24,2/13/2013,53,39,Fresh Prepared Food,4,Bike,
69,2/13/2013,53,39,Produce,0,Bike,
1,2/13/2013,293,7,Produce,70,Bike,
1,2/13/2013,293,7,Baked Goods,10,,
6,2/13/2013,312,10,Baked Goods,20,Bike,
6,2/13/2013,281,,Produce,150,Bike,
2,2/13/2013,99,7,Produce,15,Bike,
6,2/14/2013,289,7,Baked Goods,0,,
3,2/14/2013,2,42,Produce,40,Car,
6,2/14/2013,163,63,Baked Goods,0,Bike,
72,2/14/2013,163,10,Baked Goods,40,Bike,
1,2/14/2013,58,41,Baked Goods,20,Bike,
6,2/14/2013,163,63,Produce,70,Bike,
74,2/14/2013,274,63,Produce,25,Car,
1,2/14/2013,58,41,Produce,60,Bike,
72,2/14/2013,163,10,Produce,195,Bike,
6,2/14/2013,289,7,Produce,100,Car,
2,2/14/2013,57,28,Produce,45,Bike,
4,2/14/2013,32,10,Produce,0,,
27,2/14/2013,256,18,Baked Goods,40,Car,
19,2/15/2013,309,26,Frozen Prepared Food,0,,
1,2/15/2013,19,20,Produce,50,Car,
3,2/15/2013,31,14,Produce,244,Bike,
25,2/15/2013,129,22,Baked Goods,0,,
6,2/15/2013,275,71,Baked Goods,0,Bike,
24,2/15/2013,129,22,Fresh Prepared Food,0,,
2,2/15/2013,21,8,Produce,0,Bike,
27,2/15/2013,139,20,Baked Goods,25,Bike,
6,2/15/2013,136,10,Baked Goods,20,Bike,
6,2/15/2013,136,10,Produce,50,Bike,
4,2/15/2013,279,20,Produce,52,Bike,
1,2/15/2013,63,,Baked Goods,15,Bike,
6,2/15/2013,281,15,Produce,0,,
6,2/15/2013,275,71,Produce,80,Bike,
74,2/15/2013,26,8,Produce,8,Car,
1,2/16/2013,316,,Produce,75,Bike,
6,2/16/2013,225,28,Baked Goods,0,,
24,2/16/2013,225,28,Fresh Prepared Food,5,Car,
72,2/16/2013,231,8,Baked Goods,30,Car,
2,2/16/2013,101,29,Produce,150,Bike,
74,2/16/2013,294,18,Produce,0,Bike,
6,2/16/2013,141,,Baked Goods,0,,
3,2/16/2013,31,,Produce,60,Bike,
1,2/16/2013,316,,Baked Goods,5,Bike,
72,2/16/2013,231,8,Produce,210,Car,
6,2/16/2013,141,,Produce,60,Bike,
25,2/16/2013,102,29,Baked Goods,4,Bike,
76,2/16/2013,302,26,Frozen Prepared Food,30,Bike,
4,2/16/2013,29,22,Produce,210,Car,
6,2/16/2013,225,28,Produce,30,Car,
6,2/16/2013,31,30,Produce,95,Bike,
1,2/17/2013,62,8,Baked Goods,20,Bike,
4,2/17/2013,148,20,Produce,0,,
6,2/17/2013,7,5,Baked Goods,120,Car,
72,2/17/2013,290,20,Baked Goods,45,Bike,
74,2/17/2013,298,,Produce,15,Bike,
6,2/17/2013,7,5,Produce,0,,
19,2/17/2013,255,,Frozen Prepared Food,0,Bike,
25,2/17/2013,286,11,Baked Goods,10,Bike,
6,2/17/2013,65,26,Produce,60,Bike,
2,2/17/2013,7,5,Produce,180,Car,
3,2/17/2013,7,9,Produce,40,Bike,
1,2/17/2013,62,8,Produce,150,Bike,
72,2/17/2013,290,20,Produce,470,Bike,
1,2/18/2013,316,15,Produce,43,Bike,
4,2/18/2013,271,10,Produce,165,Bike,
6,2/18/2013,65,61,Produce,40,Bike,
1,2/18/2013,316,15,Baked Goods,20,Bike,
6,2/18/2013,71,20,Produce,180,Bike,
24,2/18/2013,40,28,Fresh Prepared Food,8,,
69,2/18/2013,40,28,Produce,15,,
25,2/18/2013,40,28,Baked Goods,7,,
2,2/18/2013,38,15,Produce,0,,
6,2/18/2013,99,15,Produce,75,Bike,
6,2/18/2013,99,15,Baked Goods,15,Bike,
6,2/18/2013,71,20,Baked Goods,20,Bike,
3,2/18/2013,41,66,Produce,115,Car,
74,2/18/2013,272,15,Produce,0,,
6,2/19/2013,46,15,Produce,10,,
3,2/19/2013,181,66,Produce,87,Bike,
4,2/19/2013,282,5,Produce,10,Bike,
72,2/19/2013,264,44,Baked Goods,5,Bike,
6,2/19/2013,46,15,Baked Goods,0,,
6,2/19/2013,39,,Baked Goods,0,,
1,2/19/2013,42,18,Baked Goods,30,Bike,
19,2/19/2013,126,26,Frozen Prepared Food,75,Bike,
2,2/19/2013,3,35,Produce,50,Bike,
6,2/19/2013,39,,Produce,50,,
1,2/19/2013,42,18,Produce,150,Bike,
72,2/19/2013,264,44,Produce,120,Bike,
74,2/19/2013,288,,Produce,73,Bike,
76,2/19/2013,274,,Frozen Prepared Food,25,Bike,
2,2/20/2013,271,7,Produce,11,Bike,
1,2/20/2013,293,,Baked Goods,10,Bike,
6,2/20/2013,312,10,Baked Goods,5,Bike,
6,2/20/2013,312,10,Produce,75,Bike,
25,2/20/2013,53,39,Baked Goods,0,,
3,2/20/2013,52,14,Produce,28,Bike,
69,2/20/2013,53,39,Produce,0,,
4,2/20/2013,328,37,Produce,65,Bike,
1,2/20/2013,293,,Produce,35,Bike,
74,2/20/2013,161,15,Produce,0,Bike,
43,2/20/2013,48,26,Frozen Prepared Food,0,,
24,2/20/2013,53,39,Fresh Prepared Food,0,,
2,2/21/2013,57,28,Produce,50,Bike,
1,2/21/2013,58,41,Produce,80,Car,
1,2/21/2013,58,41,Baked Goods,5,Car,
6,2/21/2013,289,7,Baked Goods,0,,
3,2/21/2013,271,42,Produce,71,Foot,
72,2/21/2013,163,10,Produce,180,Bike,
72,2/21/2013,163,10,Baked Goods,30,Bike,
72,2/21/2013,163,63,Produce,100,Bike,
4,2/21/2013,32,10,Produce,0,,
74,2/21/2013,274,63,Produce,50,Car,
6,2/21/2013,313,63,Produce,0,Bike,
6,2/21/2013,313,63,Produce,25,Bike,
6,2/21/2013,289,7,Produce,20,Car,
27,2/21/2013,256,18,Baked Goods,15,Foot,
6,2/22/2013,116,10,Baked Goods,0,,
1,2/22/2013,19,20,Produce,30,Bike,
6,2/22/2013,275,71,Baked Goods,0,Bike,
27,2/22/2013,163,20,Baked Goods,35,Bike,
25,2/22/2013,129,22,Baked Goods,0,,
6,2/22/2013,281,15,Produce,0,,
24,2/22/2013,129,22,Fresh Prepared Food,0,,
74,2/22/2013,26,8,Produce,40,Bike,
19,2/22/2013,309,26,Frozen Prepared Food,0,Bike,
6,2/22/2013,116,10,Produce,20,Bike,
4,2/22/2013,279,20,Produce,9.2,Bike,
2,2/22/2013,163,8,Produce,95,Bike,
6,2/22/2013,275,71,Produce,97.5,Bike,
1,2/22/2013,62,,Baked Goods,30,Bike,
3,2/22/2013,31,14,Produce,0,Bike,
25,2/23/2013,102,29,Baked Goods,0,,
2,2/23/2013,101,29,Produce,50,,
6,2/23/2013,,28,Produce,0,,
1,2/23/2013,27,,Produce,70,Bike,
1,2/23/2013,27,,Baked Goods,15,Bike,
72,2/23/2013,231,8,Baked Goods,40,Car,
6,2/23/2013,,28,Baked Goods,0,,
24,2/23/2013,,28,Fresh Prepared Food,0,,
76,2/23/2013,302,26,Frozen Prepared Food,15,Bike,
3,2/23/2013,4,,Produce,0,,
72,2/23/2013,231,8,Produce,240,Car,
4,2/23/2013,29,22,Produce,70,Car,
6,2/23/2013,141,,Produce,80,Bike,
6,2/23/2013,141,,Baked Goods,50,Bike,
74,2/23/2013,294,18,Produce,10,Bike,
6,2/23/2013,31,30,Produce,85,Bike,
3,2/24/2013,52,9,Produce,4,Car,
1,2/24/2013,13,8,Produce,25,Car,
1,2/24/2013,13,8,Baked Goods,10,Car,
74,2/24/2013,298,,Produce,40,Car,
19,2/24/2013,255,,Frozen Prepared Food,0,Car,
72,2/24/2013,68,20,Produce,280,Car,
72,2/24/2013,68,20,Baked Goods,40,,
2,2/24/2013,7,5,Produce,70,Car,
6,2/24/2013,158,5,Produce,200,Car,
6,2/24/2013,158,5,Baked Goods,60,Car,
4,2/24/2013,148,20,Produce,55,Car,
25,2/24/2013,286,11,Baked Goods,10,Bike,
47,2/24/2013,237,,Fresh Prepared Food,0,Bike,
6,2/25/2013,335,20,Produce,110,Car,
6,2/25/2013,335,20,Baked Goods,0,Car,
74,2/25/2013,272,15,Produce,52,Car,
6,2/25/2013,199,61,Baked Goods,18,Bike,
1,2/25/2013,316,14,Produce,80,Car,
1,2/25/2013,316,14,Baked Goods,15,Car,
2,2/25/2013,68,15,Produce,46,,
6,2/25/2013,294,7,Baked Goods,0,,
24,2/25/2013,40,28,Fresh Prepared Food,5,,
3,2/25/2013,41,66,Produce,0,,
25,2/25/2013,40,28,Baked Goods,11,,
4,2/25/2013,58,11,Produce,0,,
69,2/25/2013,40,28,Produce,7,,
6,2/25/2013,294,7,Produce,0,,
19,2/26/2013,126,26,Frozen Prepared Food,0,,
1,2/26/2013,42,18,Baked Goods,15,Bike,
72,2/26/2013,264,44,Baked Goods,5,Bike,
6,2/26/2013,46,15,Baked Goods,0,,
6,2/26/2013,39,,Baked Goods,0,,
76,2/26/2013,274,,Frozen Prepared Food,30,Bike,
6,2/26/2013,46,15,Produce,20,Bike,
6,2/26/2013,39,,Produce,20,,
4,2/26/2013,282,5,Produce,60,Bike,
2,2/26/2013,3,35,Produce,60,Bike,
72,2/26/2013,264,44,Produce,240,,
1,2/26/2013,42,18,Produce,180,Bike,
74,2/26/2013,288,,Produce,75,Car,
3,2/26/2013,181,66,Produce,0,,
4,2/27/2013,328,37,Baked Goods,15,,
1,2/27/2013,293,,Baked Goods,15,Bike,
2,2/27/2013,163,7,Produce,90,Bike,
6,2/27/2013,163,7,Baked Goods,1,Bike,
69,2/27/2013,53,39,Produce,0,,
43,2/27/2013,48,26,Frozen Prepared Food,40,Bike,
6,2/27/2013,312,10,Produce,50,,
6,2/27/2013,312,10,Baked Goods,50,,
25,2/27/2013,53,39,Baked Goods,0,,
6,2/27/2013,163,7,Produce,50,Bike,
3,2/27/2013,52,14,Produce,45,Bike,
74,2/27/2013,161,15,,58,Bike,
24,2/27/2013,53,39,Fresh Prepared Food,0,,
1,2/27/2013,293,,Produce,110,Bike,
3,2/28/2013,139,42,Produce,15,,
27,2/28/2013,256,18,Baked Goods,30,Car,
74,2/28/2013,274,63,Produce,30,Bike,
1,2/28/2013,58,41,Produce,80,Bike,
72,2/28/2013,163,10,Baked Goods,40,Bike,
6,2/28/2013,289,7,Baked Goods,0,,
6,2/28/2013,313,63,Produce,0,,
1,2/28/2013,58,41,Baked Goods,70,Bike,
72,2/28/2013,163,10,Produce,170,Bike,
6,2/28/2013,289,7,Produce,20,Bike,
4,2/28/2013,32,10,Produce,16,Bike,
2,2/28/2013,57,28,,80,Bike,
6,2/28/2013,313,63,Baked Goods,0,,
24,3/1/2013,129,22,Fresh Prepared Food,0,,
6,3/1/2013,271,15,Produce,87,Bike,
1,3/1/2013,25,,Baked Goods,20,Bike,
6,3/1/2013,116,10,,10,Bike,
6,3/1/2013,116,10,Baked Goods,40,Bike,
1,3/1/2013,19,20,Produce,90,Bike,
25,3/1/2013,129,22,Baked Goods,0,,
19,3/1/2013,309,26,Frozen Prepared Food,0,,
6,3/1/2013,275,71,Produce,80,Car,
3,3/1/2013,31,14,Produce,107.8,Bike,
74,3/1/2013,26,8,Produce,50,Bike,
2,3/1/2013,21,8,Produce,110,Bike,
4,3/1/2013,279,20,Produce,100,Bike,
27,3/1/2013,136,20,Baked Goods,40,Bike,
6,3/1/2013,275,71,Baked Goods,0,,
72,3/2/2013,231,8,Produce,225,Car,
2,3/2/2013,101,29,Produce,95,Bike,
72,3/2/2013,231,8,Baked Goods,40,Car,
1,3/2/2013,27,,Produce,200,Bike,
24,3/2/2013,225,28,Fresh Prepared Food,0,,
6,3/2/2013,141,,Baked Goods,60,Bike,
6,3/2/2013,225,28,Produce,0,,
3,3/2/2013,4,,Produce,0,Car,
6,3/2/2013,225,28,Baked Goods,0,,
6,3/2/2013,30,30,Produce,150,Bike,
25,3/2/2013,102,29,Baked Goods,6,Bike,
1,3/2/2013,27,,Baked Goods,15,Bike,
74,3/2/2013,99,18,Produce,30,Bike,
76,3/2/2013,302,26,Frozen Prepared Food,30,Bike,
6,3/2/2013,141,,Produce,60,Bike,
4,3/2/2013,29,22,Produce,55,Bike,
47,3/3/2013,331,,Fresh Prepared Food,0,,
19,3/3/2013,255,,Frozen Prepared Food,0,Bike,
1,3/3/2013,13,8,Baked Goods,10,Bike,
74,3/3/2013,298,,Produce,0,Bike,
72,3/3/2013,290,20,Produce,200,Bike,
6,3/3/2013,158,5,Produce,120,Car,
1,3/3/2013,13,8,Produce,50,Bike,
25,3/3/2013,286,11,Baked Goods,10,Bike,
4,3/3/2013,148,20,Produce,52,Bike,
3,3/3/2013,52,9,Produce,72,Bike,
6,3/3/2013,158,5,Baked Goods,60,Car,
2,3/3/2013,7,5,Produce,90,Car,
72,3/3/2013,290,20,Baked Goods,35,Bike,
6,3/4/2013,335,20,Produce,0,,
4,3/4/2013,58,11,Produce,0,,
25,3/4/2013,40,28,Baked Goods,6,,
3,3/4/2013,41,66,Produce,105,Car,
24,3/4/2013,40,28,Fresh Prepared Food,0,,
74,3/4/2013,272,15,Produce,45,Car,
2,3/4/2013,65,15,Produce,13,Bike,
1,3/4/2013,68,14,Baked Goods,25,Bike,
6,3/4/2013,199,61,Produce,30,Bike,
6,3/4/2013,116,7,Baked Goods,45,Bike,
69,3/4/2013,40,28,Produce,12,,
6,3/4/2013,116,7,Produce,155,Bike,
1,3/4/2013,68,14,Produce,166,Bike,
6,3/4/2013,335,20,Baked Goods,0,,
2,3/5/2013,3,35,Produce,40,Car,
4,3/5/2013,282,5,Produce,0,Bike,
72,3/5/2013,264,44,Baked Goods,10,,
6,3/5/2013,163,,Produce,75,Bike,
6,3/5/2013,163,,Baked Goods,0,Bike,
19,3/5/2013,126,26,Frozen Prepared Food,35,Bike,
1,3/5/2013,42,18,Baked Goods,15,Bike,
3,3/5/2013,181,66,Produce,0,,
72,3/5/2013,264,44,Produce,200,Bike,
74,3/5/2013,288,,Produce,55.4,Bike,
6,3/5/2013,46,15,Baked Goods,0,,
6,3/5/2013,46,15,Produce,0,,
76,3/5/2013,274,,Frozen Prepared Food,0,,
1,3/5/2013,42,18,Produce,50,Bike,
4,3/6/2013,328,37,Produce,15,Bike,
6,3/6/2013,163,10,Produce,0,Bike,
6,3/6/2013,163,10,Baked Goods,0,Bike,
74,3/6/2013,161,15,Produce,0,Bike,
1,3/6/2013,293,,Produce,25,Bike,
69,3/6/2013,53,39,Produce,6,Bike,
24,3/6/2013,53,39,Fresh Prepared Food,4,Bike,
6,3/6/2013,348,7,Baked Goods,0,,
3,3/6/2013,52,14,Produce,157,Car,
43,3/6/2013,48,26,Frozen Prepared Food,30,Bike,
1,3/6/2013,293,,Baked Goods,25,Bike,
6,3/6/2013,348,7,Produce,18,Bike,
25,3/6/2013,53,39,Baked Goods,5,Bike,
2,3/6/2013,345,7,Produce,50,Bike,
27,3/7/2013,256,18,Baked Goods,15,Car,
6,3/7/2013,313,63,Baked Goods,40,Bike,
6,3/7/2013,289,7,Baked Goods,0,,
72,3/7/2013,163,10,Baked Goods,30,Bike,
74,3/7/2013,274,63,Produce,50,Bike,
3,3/7/2013,336,42,Produce,20,Bike,
1,3/7/2013,58,41,Baked Goods,15,Bike,
6,3/7/2013,289,7,Produce,75,Bike,
72,3/7/2013,163,10,Produce,210,Bike,
1,3/7/2013,58,41,Produce,35,Bike,
6,3/7/2013,313,63,Produce,25,Bike,
2,3/7/2013,57,28,Produce,100,Bike,
4,3/7/2013,32,10,Produce,0,,
1,3/8/2013,19,20,Produce,18,Bike,
4,3/8/2013,279,20,Produce,180,Foot,
24,3/8/2013,129,22,Fresh Prepared Food,0,,
6,3/8/2013,116,10,Produce,180,Bike,
25,3/8/2013,129,22,Baked Goods,0,,
27,3/8/2013,99,20,Baked Goods,5,Bike,
6,3/8/2013,275,71,Baked Goods,0,,
19,3/8/2013,309,26,Frozen Prepared Food,0,,
74,3/8/2013,26,8,Produce,40,Bike,
3,3/8/2013,31,14,Produce,87,Bike,
6,3/8/2013,281,15,Produce,44,Bike,
2,3/8/2013,21,8,Produce,155,Bike,
6,3/8/2013,116,10,Baked Goods,50,Bike,
1,3/8/2013,163,,Baked Goods,30,Bike,
6,3/8/2013,275,71,Produce,50,Car,
72,3/9/2013,231,8,Produce,300,Car,
74,3/9/2013,294,18,Produce,0,,
72,3/9/2013,231,8,Baked Goods,50,,
6,3/9/2013,225,28,Produce,0,,
6,3/9/2013,225,28,Baked Goods,0,,
76,3/9/2013,331,26,Frozen Prepared Food,15,Bike,
1,3/9/2013,27,,Baked Goods,0,,
4,3/9/2013,29,22,Produce,0,,
24,3/9/2013,225,28,Fresh Prepared Food,0,,
2,3/9/2013,101,29,Produce,95,Bike,
6,3/9/2013,141,,Produce,10,,
6,3/9/2013,141,,Baked Goods,30,Bike,
1,3/9/2013,27,,Produce,0,,
25,3/9/2013,102,29,Baked Goods,0,,
3,3/9/2013,4,,Produce,60,Car,
6,3/9/2013,31,30,Produce,0,,
47,3/10/2013,294,,Fresh Prepared Food,0,,
1,3/10/2013,13,8,Produce,210,Bike,
72,3/10/2013,290,20,Baked Goods,30,Bike,
74,3/10/2013,298,,Produce,20,Bike,
6,3/10/2013,350,5,Produce,45,Bike,
3,3/10/2013,52,9,Produce,20,Bike,
25,3/10/2013,286,11,Baked Goods,12,Bike,
